Dam,Location,Capacity_Total,Capacity_Usable,Water_Stored,Water_Usable,Inflow,Outflow,Data_Time,Water_Type
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,230.27 (87%),218.09 (82%),0.05,1.62,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08","1,248.49 (86%)",972.21 (67%),3.3,4.1,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,131.25 (80%),117.75 (72%),0.33,0.43,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","13,595.54 (77%)","3,330.54 (19%)",1.32,16.91,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,123.74 (73%),117.54 (69%),0,0.33,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","6,573.78 (69%)","3,723.78 (39%)",1.32,22,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","6,112.3 (69%)","3,100.3 (35%)",0,18.04,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,811.64 (68%)","2,460.1 (44%)",2.28,10.24,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,75.33 (64%),63.27 (54%),0.02,0.32,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,595.86 (63%),552.86 (59%),0.07,2.59,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,158.26 (60%),144.26 (55%),0.17,1.17,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","8,090.36 (60%)","4,290.36 (32%)",0,15,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,62.85 (59%),59.3 (56%),0.37,1.83,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,157.85 (59%)",326.47 (17%),0,0.53,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880","1,130.62 (57%)","1,030.62 (52%)",1.46,6.92,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,163.5 (55%),143.5 (49%),0,0.55,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,274.57 (53%),229.57 (44%),0.56,1.93,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,155.13 (52%),115.13 (39%),0,0.87,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,351.87 (50%),286.87 (40%),2.23,2.59,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,74.49 (48%),73.09 (47%),0,0.17,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850","1,139.27 (47%)",557.6 (23%),0,8,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,63.26 (47%),56.67 (42%),0,0.28,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,135.84 (46%),121.59 (41%),0.07,1.02,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,124.73 (45%),117.73 (43%),0,0.26,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,60.91 (43%),53.91 (38%),0.07,0.36,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,410.21 (43%),407.21 (42%),0,2.59,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,67.59 (41%),58.91 (36%),0,0.2,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,154.17 (39%),136.58 (35%),0.31,0.87,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,87.01 (39%),82.49 (37%),0.02,0.94,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,60.23 (38%),43.23 (27%),0,0,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,60.06 (37%),22.84 (14%),0,1.08,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,38.83 (32%),35.38 (29%),0.03,0,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,28.72 (26%),12.82 (12%),0,0.52,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,62.05 (20%),39.35 (13%),0.32,0.26,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,77.74 (19%),47.74 (11%),0,1.46,18/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08","1,247.98 (86%)",971.7 (67%),4.23,4.03,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,227.13 (86%),214.94 (81%),0.05,1.62,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,130.65 (80%),117.15 (72%),0,0.43,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","13,556.59 (76%)","3,291.59 (19%)",1.51,16.96,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,123.03 (72%),116.83 (69%),0.03,0.33,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","6,526.09 (69%)","3,676.09 (39%)",0,22.01,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","6,077.94 (69%)","3,065.94 (35%)",3.68,18.05,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,800.27 (67%)","2,448.73 (43%)",2.51,6.2,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,74.87 (64%),62.81 (54%),0,0.31,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,587.61 (63%),544.61 (58%),0,3.89,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","8,057.17 (60%)","4,257.17 (32%)",0,15,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,156.21 (59%),142.21 (54%),0.1,1.15,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,149.52 (58%)",318.14 (16%),0,0.55,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880","1,117.84 (56%)","1,017.84 (51%)",1.45,6.96,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,59.41 (56%),55.86 (53%),0.15,1.93,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,162.1 (55%),142.1 (48%),0,0.55,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,271.18 (52%),226.18 (44%),0.55,1.92,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,153 (51%),113 (38%),0,0.87,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,349.12 (49%),284.12 (40%),1.08,2.59,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,74.02 (48%),72.62 (47%),0,0.17,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850","1,120 (46%)",538.33 (22%),0,8.03,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,61.85 (46%),55.26 (41%),0,0.54,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,133.39 (45%),119.14 (40%),0,1.02,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,123.68 (45%),116.68 (42%),0,0.26,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,60.03 (43%),53.03 (38%),0,0.36,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,401.33 (42%),398.33 (41%),0,3.03,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,67.1 (41%),58.42 (35%),0.03,0.08,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,153.04 (39%),135.45 (35%),0.31,0.87,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,86.25 (39%),81.73 (36%),0,0.31,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,60.13 (38%),43.13 (27%),0,0.1,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,57.48 (35%),20.26 (12%),0,0.98,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,38.71 (32%),35.26 (29%),0.04,0,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,27.79 (25%),11.89 (11%),0,0.45,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,60.92 (19%),38.22 (12%),0,0.26,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,76.64 (18%),46.64 (11%),0,1.46,20/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,227.13 (86%),214.94 (81%),0.05,1.62,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08","1,247.98 (86%)",971.7 (67%),4.23,4.03,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,130.65 (80%),117.15 (72%),0,0.43,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","13,556.59 (76%)","3,291.59 (19%)",1.51,16.96,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,123.03 (72%),116.83 (69%),0.03,0.33,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","6,526.09 (69%)","3,676.09 (39%)",0,22.01,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","6,077.94 (69%)","3,065.94 (35%)",3.68,18.05,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,800.27 (67%)","2,448.73 (43%)",2.51,6.2,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,74.87 (64%),62.81 (54%),0,0.31,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,587.61 (63%),544.61 (58%),0,3.89,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","8,057.17 (60%)","4,257.17 (32%)",0,15,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,156.21 (59%),142.21 (54%),0.1,1.15,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,149.52 (58%)",318.14 (16%),0,0.55,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880","1,117.84 (56%)","1,017.84 (51%)",1.45,6.96,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,59.41 (56%),55.86 (53%),0.15,1.93,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,162.1 (55%),142.1 (48%),0,0.55,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,271.18 (52%),226.18 (44%),0.55,1.92,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,153 (51%),113 (38%),0,0.87,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,349.12 (49%),284.12 (40%),1.08,2.59,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,74.02 (48%),72.62 (47%),0,0.17,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850","1,120 (46%)",538.33 (22%),0,8.03,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,61.85 (46%),55.26 (41%),0,0.54,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,133.39 (45%),119.14 (40%),0,1.02,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,123.68 (45%),116.68 (42%),0,0.26,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,60.03 (43%),53.03 (38%),0,0.36,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,401.33 (42%),398.33 (41%),0,3.03,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,67.1 (41%),58.42 (35%),0.03,0.08,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,153.04 (39%),135.45 (35%),0.31,0.87,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,86.25 (39%),81.73 (36%),0,0.31,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,60.13 (38%),43.13 (27%),0,0.1,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,57.48 (35%),20.26 (12%),0,0.98,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,38.71 (32%),35.26 (29%),0.04,0,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,27.79 (25%),11.89 (11%),0,0.45,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,60.92 (19%),38.22 (12%),0,0.26,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,76.64 (18%),46.64 (11%),0,1.46,21/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08","1,245.47 (86%)",969.19 (67%),3.25,4.05,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,224.07 (85%),211.89 (80%),0.05,1.48,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,129.65 (79%),116.15 (71%),0,0.42,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","13,517.72 (76%)","3,252.72 (18%)",3.27,16.98,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,122.33 (72%),116.13 (68%),0,0.33,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","6,040.6 (68%)","3,028.6 (34%)",0.59,18.01,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","6,480.72 (68%)","3,630.72 (38%)",0,22.02,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,786.09 (67%)","2,434.55 (43%)",1.43,7.94,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,74.26 (63%),62.2 (53%),0,0.33,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,579.76 (62%),536.76 (57%),0.07,3.89,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","8,021.93 (60%)","4,221.93 (31%)",0,15,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,154.31 (59%),140.31 (53%),0.09,1.09,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,141.24 (58%)",309.86 (16%),0,0.53,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880","1,103.02 (56%)","1,003.02 (51%)",0,6.93,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,160.35 (54%),140.35 (48%),0,0.9,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,56.28 (53%),52.73 (50%),0.43,1.89,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,265.53 (51%),220.53 (42%),0,1.41,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,150.36 (50%),110.36 (37%),0,1.13,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,345.03 (49%),280.03 (39%),0.42,2.59,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,73.48 (47%),72.08 (47%),0,0.17,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850","1,100.95 (45%)",519.28 (21%),0,8.05,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,122.84 (45%),115.84 (42%),0,0.25,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,130.95 (44%),116.7 (40%),0,1.05,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,60.03 (44%),53.44 (39%),0,0.58,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,59.32 (42%),52.32 (37%),0,0.36,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,392.45 (41%),389.45 (41%),0,3.03,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,66.73 (40%),58.05 (35%),0,0,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,151.54 (39%),133.95 (34%),0.12,0.87,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,59.93 (37%),42.93 (27%),0,0.1,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,83.82 (37%),79.3 (35%),0,1.66,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,55.89 (34%),18.67 (11%),0,0.52,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,38.47 (32%),35.02 (29%),0,0,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,27.52 (25%),11.62 (11%),0,0.13,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,59.86 (19%),37.16 (12%),0,0.26,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,71.14 (17%),41.14 (10%),0,1.86,22/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08","1,244.96 (86%)",968.68 (67%),3.73,4.04,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,222.8 (84%),210.62 (80%),0.05,1.32,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,129.05 (79%),115.55 (71%),0,0.4,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","13,500.08 (76%)","3,235.08 (18%)",0,16.97,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,121.93 (72%),115.73 (68%),0,0.33,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","6,459.17 (68%)","3,609.17 (38%)",1.53,22.03,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","6,015.78 (68%)","3,003.78 (34%)",0,18.03,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,777.59 (67%)","2,426.05 (43%)",2.15,10.07,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,73.96 (63%),61.9 (53%),0.02,0.32,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,575.92 (61%),532.92 (57%),0.12,3.89,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","8,004.38 (59%)","4,204.38 (31%)",0,15,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,153.37 (58%),139.37 (53%),0.18,1.12,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,139.17 (58%)",307.79 (16%),0,0.53,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880","1,094.6 (55%)",994.6 (50%),0,6.9,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,159.16 (54%),139.16 (47%),0,1.05,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,54.43 (51%),50.88 (48%),0.3,2.15,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,263.27 (51%),218.27 (42%),0,1.4,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,149.04 (50%),109.04 (36%),0,1.12,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,342.7 (48%),277.7 (39%),0.43,2.59,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,73.25 (47%),71.85 (46%),0,0.17,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850","1,091.5 (45%)",509.83 (21%),0,8,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,122.42 (45%),115.42 (42%),0,0.25,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,129.74 (44%),115.49 (39%),0,1.06,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,59.22 (44%),52.63 (39%),0,0.59,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,59.01 (42%),52.01 (37%),0.1,0.36,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,66.73 (40%),58.05 (35%),0.07,0,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,388.01 (40%),385.01 (40%),0,3.03,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,150.41 (38%),132.82 (34%),0,0.87,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,59.83 (37%),42.83 (27%),0,0.1,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,82.29 (37%),77.77 (35%),0,1.49,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,55.67 (34%),18.45 (11%),0.01,0,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,38.47 (32%),35.02 (29%),0.04,0,23/03/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,27.39 (25%),11.49 (10%),0,0.13,23/03/2025,แหล่งน้ำขนาดใหญ่
