0,1,2,3,4,5,6,7,9,10,8,3_pct,4_pct,5_pct
ห้วยช้าง,เชียงราย,6.3,5.06,4.76,0.17,0.24,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.8,0.79,0.0
ห้วยรังแร้ง อ.บ้านม่วง,สกลนคร,2.2,1.76,1.66,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.8,0.83,0.0
น้ำเลย,เลย,35.807,28.68,22.82,8.15,2.17,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.8,0.76,0.0
ดอกกราย,ระยอง,79.411,57.01,54.01,0.15,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.8,0.71,0.0
บ้านดงมะไฟ อ. บ้านม่วง,สกลนคร,1.0,0.8,0.7,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.8,0.77,0.0
คลองสีเสียด,ปราจีนบุรี,1.14,0.91,0.84,0.01,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.8,0.77,0.0
ห้วยน้ำคำ,ศรีสะเกษ,2.45,1.95,1.84,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.8,0.79,0.0
แม่เรียง,ลำปาง,1.12,0.89,0.55,0.39,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.8,0.71,0.0
ห้วยกระเฌอ อ.กุดบาก,กาฬสินธุ์,8.99,7.11,6.41,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.79,0.77,0.0
แม่ต๋ำน้อย,ลำปาง,1.09,0.79,0.72,0.0,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.79,0.7,0.0
แม่โก๋น,เชียงใหม่,5.53,4.36,4.04,0.05,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.79,0.78,0.0
ลำเชียงไกร ตอนบน,นครราชสีมา,8.4,6.62,5.67,0.21,0.27,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.79,0.76,0.0
ห้วยคำ อ.วานรนิวาส,สกลนคร,6.5,5.12,4.72,0.02,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.79,0.77,0.0
อ่างฯ คลองไพร,กำแพงเพชร,0.0,11.3,11.27,0.23,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.79,0.0,0.0
แม่ตูบ,ลำพูน,39.0,30.65,30.15,0.17,0.17,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.79,0.78,0.0
แม่ตีบ,ลำพูน,10.0,7.84,7.34,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.78,0.77,0.0
แม่จอกหลวง,เชียงใหม่,1.1,0.86,0.76,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.78,0.76,0.0
ห้วยยางพะไล,นครราชสีมา,13.3,10.39,9.84,0.0,0.08,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.78,0.77,0.0
แม่ยาว,ลำปาง,3.48,2.71,2.43,0.06,0.05,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.78,0.76,0.0
ห้วยซวง อ.วานรนิวาส,สกลนคร,6.0,4.67,4.27,0.05,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.78,0.76,0.0
ห้วยก้านเหลือง อ.ส่องดาว,สกลนคร,5.9,4.58,4.06,0.16,0.1,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.78,0.76,0.0
ห้วยคันแทใหญ่,มุกดาหาร,0.0,3.59,3.58,0.0,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.78,0.0,0.0
ห้วยมะนาว,เชียงใหม่,4.3,3.31,3.21,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.77,0.76,0.0
ห้วยทรายตอนบน 1 อ.เมือง,สกลนคร,2.1,1.62,1.34,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.77,0.73,0.0
ห้วยคำบากน้อย อ.สว่างแดนดิน,อุดรธานี,4.0,3.07,2.57,0.03,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.77,0.73,0.0
ห้วยทรายขมิ้น อ.เมือง,สกลนคร,2.4,2.42,2.18,0.0,0.11,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.76,0.96,0.0
ห้วยน้ำหมาน อ.เมือง,เลย,26.5,20.15,18.68,1.22,0.59,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.76,0.75,0.0
แม่ธิ,ลำปาง,1.59,1.21,1.1,0.04,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.76,0.74,0.0
ห้วยแม่ข้อน,เชียงใหม่,4.08,3.09,2.74,0.4,0.42,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.76,0.73,0.0
โป่งจ้อ,เชียงใหม่,2.6,2.08,2.03,0.02,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.75,0.8,0.0
แม่แหลงหลวง,เชียงใหม่,3.641,2.73,2.61,0.05,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.75,0.74,0.0
แม่กึ๊ด,ลำปาง,1.3,0.98,0.81,0.1,0.07,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.75,0.71,0.0
บ้านจรัส,สุรินทร์,15.0,11.24,10.74,0.15,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.75,0.74,0.0
ห้วยสามพาด อ.หนองแสง,อุดรธานี,15.0,13.81,12.91,0.8,0.06,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.75,0.91,0.0
หนองบัว,มหาสารคาม,3.58,2.67,2.18,0.01,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.75,0.71,0.0
น้ำซับคำโรงสี อ. บ้านม่วง,สกลนคร,2.0,1.49,0.99,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.75,0.66,0.0
แม่ปอน,ลำปาง,1.813,1.34,1.19,0.07,0.04,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.74,0.71,0.0
ห้วยตามาย,ศรีสะเกษ,37.29,27.42,26.77,0.08,0.32,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.74,0.73,0.0
อ่างฯ ห้วยแม่เฉย,อุตรดิตถ์,4.0,2.93,2.66,0.08,0.23,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.73,0.71,0.0
ภูเพ็ก อ.พรรณานิคม,สกลนคร,2.7,1.98,1.8,0.02,0.02,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.73,0.71,0.0
ห้วยเดื่อ,เชียงใหม่,4.276,3.13,2.85,0.03,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.73,0.71,0.0
ห้วยสีทน,กาฬสินธุ์,3.55,2.59,2.5,0.29,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.73,0.7,0.0
ห้วยนา,เพชรบูรณ์,5.65,4.11,3.51,0.26,0.13,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.73,0.7,0.0
แม่สาน,ลำพูน,16.0,11.57,10.69,0.03,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.72,0.68,0.0
คลองเพรียว,สระบุรี,7.2,5.2,5.1,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.72,0.72,0.0
ห้วยตู้ 2,ชลบุรี,2.97,2.09,1.89,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.72,0.68,0.0
มาบฟักทอง 2,ชลบุรี,1.98,1.44,1.25,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.72,0.7,0.0
แม่ต๋ำ,ลำปาง,37.0,29.88,27.38,0.0,0.26,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.72,0.79,0.0
แม่สาย,แพร่,10.5,7.56,6.16,0.0,0.1,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.72,0.68,0.0
ห้วยบะอีแตน,นครราชสีมา,1.8,1.3,0.99,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.72,0.66,0.0
ห้วยด่านไอ,ศรีสะเกษ,8.03,5.77,5.07,0.45,0.14,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.72,0.68,0.0
ห้วยเสนง,สุรินทร์,21.962,15.79,14.97,0.21,0.2,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.72,0.71,0.0
คลองส้มป่อย,สระแก้ว,1.8,1.29,1.19,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.72,0.7,0.0
ห้วยแห้ว อ.เมือง,เลย,2.73,1.95,1.76,0.33,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.71,0.69,0.0
แม่ทะลบหลวง,เชียงใหม่,15.3,10.93,8.63,0.09,0.03,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.71,0.66,0.0
ห้วยเปลวเงือก อ.โพนพิสัย,หนองคาย,2.75,1.96,1.84,0.2,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.71,0.7,0.0
ห้วยชัน,สระแก้ว,4.0,2.85,1.99,0.0,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.71,0.63,0.0
ห้วยโพธิ์,กาฬสินธุ์,2.44,1.74,1.51,0.21,0.22,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.71,0.68,0.0
ห้วยจระเข้มาก,บุรีรัมย์,26.02,18.52,16.91,0.05,0.01,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.71,0.69,0.0
ห้วยก้านเหลือง,สกลนคร,7.408,5.27,4.55,0.31,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.71,0.62,0.0
ห้วยน้ำสวย อ.นาด้วง,เลย,3.3,2.34,1.39,0.28,0.1,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.71,0.59,0.0
มาบฟักทอง 1,ชลบุรี,1.23,0.87,0.67,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.65,0.0
ห้วยวังใหญ่,อุบลราชธานี,8.0,5.63,4.83,0.01,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.67,0.0
ห้วยจันลา,อุบลราชธานี,16.9,11.88,11.28,0.01,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.69,0.0
ห้วยโป่ง อ.พังโคน,สกลนคร,1.63,1.15,0.32,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.25,0.0
ห้วยส้มโฮง,นครพนม,3.12,2.19,2.17,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.7,0.0
ห้วยพลาญเสือ(ห้วยผึ้ง),อุบลราชธานี,33.5,23.47,22.35,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.69,0.0
ห้วยโอตาลัต,ศรีสะเกษ,3.8,2.66,2.21,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.66,0.0
ห้วยขาหน้า,มุกดาหาร,1.7,1.19,0.82,0.0,0.0,0.0,แหล่งน้ำขนาดกลาง,0,0.0,0.7,0.69,0.0
