0,1,2,3,4,5,6,8,9
น้ำพรม,ชัยภูมิ,3.434,2.83 (85%),2.75 (82%),1.17,0.66,27/08/2025,แหล่งน้ำขนาดกลาง
ลำพันชาดน้อย อ.วังสามหมอ,อุดรธานี,1.9,1.61 (85%),1.47 (83%),0.23,0.22,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยละมืด,อุบลราชธานี,6.7,5.67 (85%),5.57 (112%),0.21,0.15,27/08/2025,แหล่งน้ำขนาดกลาง
คลองหยา,กระบี่,3.2,2.71 (85%),2.67 (84%),0.02,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ปืม,พะเยา,43,42.38 (84%),40.73 (99%),,,27/08/2025,แหล่งน้ำขนาดกลาง
คลองไม้ปล้อง,ปราจีนบุรี,11.335,9.45 (83%),9.34 (83%),0.02,0.07,27/08/2025,แหล่งน้ำขนาดกลาง
บุ่งหมากโมง,นครพนม,2.19,1.81 (83%),1.41 (80%),,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่เลียง,ลำปาง,6.9,5.66 (82%),4.86 (80%),0.45,0.44,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหินลาด,มุกดาหาร,1.7,1.1 (82%),0.70 (41%),0.03,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
แม่สอง,แพร่,65.8,53.65 (82%),41.05 (77%),1.71,1.2,27/08/2025,แหล่งน้ำขนาดกลาง
หนองปะโค อ.กุมภวาปี,อุดรธานี,3.076,2.49 (81%),1.49 (72%),0.03,0,27/08/2025,แหล่งน้ำขนาดกลาง
คลองโสน,ตราด,65,52.41 (81%),49.93 (80%),0.91,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
คลองสะพานหิน,ตราด,20,16.11 (81%),15.61 (80%),0.13,0.1,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยสะกาด,นครราชสีมา,3.578,2.87 (80%),2.75 (80%),0.01,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยช้าง,เชียงราย,6.3,5.06 (80%),4.76 (79%),0.17,0.24,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยรังแร้ง อ.บ้านม่วง,สกลนคร,2.2,1.76 (80%),1.66 (83%),,,27/08/2025,แหล่งน้ำขนาดกลาง
น้ำเลย,เลย,35.807,28.68 (80%),22.82 (76%),8.15,2.17,27/08/2025,แหล่งน้ำขนาดกลาง
ดอกกราย,ระยอง,79.411,57.01 (80%),54.01 (71%),0.15,0.05,27/08/2025,แหล่งน้ำขนาดกลาง
บ้านดงมะไฟ อ. บ้านม่วง,สกลนคร,1,0.8 (80%),0.70 (77%),,,27/08/2025,แหล่งน้ำขนาดกลาง
คลองสีเสียด,ปราจีนบุรี,1.14,0.91 (80%),0.84 (77%),0.01,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยน้ำคำ,ศรีสะเกษ,2.45,1.95 (80%),1.84 (79%),0,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยกระเฌอ อ.กุดบาก,กาฬสินธุ์,8.99,7.11 (79%),6.41 (77%),,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ต๋ำน้อย,ลำปาง,1.09,0.79 (79%),0.72 (70%),0,0.05,27/08/2025,แหล่งน้ำขนาดกลาง
แม่โก๋น,เชียงใหม่,5.53,4.36 (79%),4.04 (78%),0.05,0.07,27/08/2025,แหล่งน้ำขนาดกลาง
ลำเชียงไกร ตอนบน,นครราชสีมา,8.4,6.62 (79%),5.67 (76%),0.21,0.27,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยคำ อ.วานรนิวาส,สกลนคร,6.5,5.12 (79%),4.72 (77%),0.02,,27/08/2025,แหล่งน้ำขนาดกลาง
