0,1,2,3,4,5,6,8,9
หนองแก่งนารา,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเขื่อง,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยประทาว (เขื่อนล่าง),ชัยภูมิ,16.4,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงโลโพ,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองแซง,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหอย,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองบัวใหญ่,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงชวน,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงอำพันธิ์,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองบ่อพนา,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยขอน,แพร่,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองกราม,ศรีสะเกษ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
กุดน้ำใส,ศรีสะเกษ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ปากอีจ้อน,ศรีสะเกษ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองสามหมื่น,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองบักซู,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองนาแซง,ชัยภูมิ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหนองเข็ม,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
วังนอง,นครพนม,2,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองไชยวาน,นครพนม,24,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองแสง,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ไม่มีชื่อ,ประจวบคีรีขันธ์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองโอ,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเซา,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองนา,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองกอมเกาะ,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองคอน,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองคำมน,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
กุดเรือคำ,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองสาหร่าย,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเครือเขา,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเครือเขา,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหลวง,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองสังข์,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองปลาปาก,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยงิ้ว,เชียงราย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหลวง,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยน้ำบ่อ,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองแซง,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหนองโดก,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองดินดาก,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองบ่อหลุบ,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงบ้านโคกสี,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงพุดซา,นครราชสีมา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ไม่มีชื่อ,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ตาดควัน,เชียงราย,6.7,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหลวง,เชียงราย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงแท่น,นครราชสีมา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยเอี้ยง,เชียงราย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ไม่มีชื่อ,นครศรีธรรมราช,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ไม่มีชื่อ,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยอีพัน,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองทรง,เชียงราย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองทุ่งมน,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงถนนหักใหญ่,นครราชสีมา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองฮ่าง,เชียงราย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงคัน,สกลนคร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหลวง,ตาก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองซาด,สุรินทร์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองน้ำ บ้านกระเบื้องใหญ่,สุรินทร์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองประแดงพาย,สุรินทร์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
สันป่าสัก,เชียงราย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ฉางข้าว,เชียงราย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยคลองตะแบก,ตาก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองสวง,นครราชสีมา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองละหานนา,นครราชสีมา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยก้าง,เชียงราย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองบึงสำโรง,นครราชสีมา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงเอง,นครราชสีมา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองนาแชง,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเชียงบุญมา,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองจันทร์,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงขามเปี้ย,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองบอ,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองกุดโย้,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
กุดจับ,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองอาฮง,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
คลองห้วยทราย,ตาก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเลิง,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเงียง,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหิ้ง,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหินตัน,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองยอง,บึงกาฬ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยฮ่องไคร้,เชียงใหม่,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองกระนัง,บุรีรัมย์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
แม่มาว,เชียงใหม่,20.6,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยชะลาด,ตาก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยบวกหลวง,ตาก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยสองแควหลวง,ตาก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองสางนกแซว,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองน้ำ,ฉะเชิงเทรา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยยาง,บุรีรัมย์,13.8,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองทุ่งกระเด็น,บุรีรัมย์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองละหานทราย,บุรีรัมย์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองกวัก,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองละหานทรายเก่า,บุรีรัมย์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหัวเรือ,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองห้วยราญ,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองนาตู้ดี,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหัวช้าง,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองคางฮุง,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองตะแบง,บุรีรัมย์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองห้วยน้ำเกลี้ยง,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองผักไหม,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเบ็นเครือ,มหาสารคาม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนอง,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแก้ว,เชียงใหม่,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหาดซัง,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองคอน,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
สองแควเหนือ,ตาก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองกันชา,มหาสารคาม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองช้าง,อุบลราชธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ไม่มีชื่อ,มหาสารคาม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองราษฎร์,มหาสารคาม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ไม่มีชื่อ,สุราษฎร์ธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเลิงใหญ่,มหาสารคาม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
แม่เทย,ลำพูน,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองสามขา,อำนาจเจริญ,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแม่หาด,ลำพูน,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองทุ่งใหญ่,อุดรธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองงาม,อุดรธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
พรุปาลีมอ,ยะลา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองแวงพัมนา,อุดรธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ผาแหน,เชียงใหม่,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองบวบเลา,อุดรธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองแล้ง,อุดรธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยลาน,เชียงใหม่,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงโคกสี,อุดรธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยม่วง,อุตรดิตถ์,3.39,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองส้มกุง,หนองคาย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงเขาดิน,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองกอง,กำแพงเพชร,2.1,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงหล่ม,อุตรดิตถ์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
คลองวังน้ำแดง,กำแพงเพชร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
แม่นาเรือ,พะเยา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงอ้อ,ชัยนาท,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงท่าเรือทอง,ชัยนาท,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองน้ำ,ชัยนาท,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงประจำรัง,ชัยนาท,3,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงกระจับ,ชัยนาท,4.75,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงระหาญใหญ่,ชัยนาท,5.7,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงระหารบัว,ชัยนาท,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงตะมาย,ชัยนาท,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงหาดกองสิน,ชัยนาท,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองน้ำ บ้านดอนแดง,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองปลาโด,นครพนม,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยดงปูแกง,พะเยา,2.7,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงน้ำใส,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงเสนาท,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงสำโรง,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองสามควาน,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหวาย,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงกระจังงาม,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงทัพกฤษ,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงอ้อ,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองชายครุย,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ไม่มีชื่อ,กาฬสินธุ์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
เขาพระ 2,นครสวรรค์,2,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองใหญ่,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองตานิวใหญ่,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงใหญ่,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองศรีเจริญ,อุดรธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองบางเดื่อ,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงหล่ม,นครสวรรค์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
สระ,พระนครศรีอยุธยา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองขลา,พิจิตร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหล่ม,พิจิตร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองคนาง,พิจิตร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงนาราง,พิจิตร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงสรรพงาย,พิจิตร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงทุ่งหงษ์,พิษณุโลก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงแม่ระหัน,พิษณุโลก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยซำรู้,พิษณุโลก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงตะเครง,พิษณุโลก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงราชนก,พิษณุโลก,2.67,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงกำไล,พิษณุโลก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยคลองเหมือง,พิษณุโลก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงบัว,พิษณุโลก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงชวน,อุดรธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเขื่อง,ยโสธร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงผือฮี,ยโสธร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยจั๊กจั่น,เพชรบูรณ์,30,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองปากเป่ง,ยโสธร,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองดงผักเทียม,อุดรธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองขาหยัง,เพชรบูรณ์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
พาน,อุดรธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแม่ต๋ำ,พะเยา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ไม่มีชื่อ,เพชรบูรณ์,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยน้ำแวน,พะเยา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
อ่างห้วยแหน,พะเยา,2.64,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ปลาคูณ,ร้อยเอ็ด,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแม่ผง,พะเยา,5.08,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยใหญ่,ลพบุรี,11.87,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองเล็งทราย,พะเยา,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ไม่มีชื่อ,นครศรีธรรมราช,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
กุดแดง,ร้อยเอ็ด,2.806,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองบึงจิ๋ว,ร้อยเอ็ด,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองขุนหมา,อุทัยธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองประมูล,สุโขทัย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองจระเข้,สุโขทัย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองทุ่งแม่ระวิง,สุโขทัย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหัวแหวน,สุโขทัย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงใหญ่,สุโขทัย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
เกิดผล,สุโขทัย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองลี,สุโขทัย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองแสงทุ่ง,ร้อยเอ็ด,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ซอนต้า,ราชบุรี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงโดน,ร้อยเอ็ด,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองหวาย,ร้อยเอ็ด,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองปลาหมอ,สุโขทัย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงลับแล,สุโขทัย,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงฉวาก,สุพรรณบุรี,7,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงเกลือ,ร้อยเอ็ด,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงบ่อแก,ร้อยเอ็ด,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองโคกพุทรา,อ่างทอง,4,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
บึงทุ่งโสกา,พิษณุโลก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองน้ำ,อ่างทอง,3,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองอ้ายเหล็ก,อ่างทอง,3,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองตางู,อุทัยธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองผีเผา,อุทัยธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ไม่มีชื่อ,อุทัยธานี,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ฮอ่งแฮ่,ร้อยเอ็ด,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองผือ,ร้อยเอ็ด,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
หนองสามขา,พิษณุโลก,0,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
คลองทุ่งเพล (เขื่อนพลวง),จันทบุรี,80,-,-,-,-,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยกะเบา,มุกดาหาร,5.07,5.68 (111%),5.28 (113%),1.96,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแฮต,น่าน,5,5.48 (110%),4.94 (111%),2.87,2.23,27/08/2025,แหล่งน้ำขนาดกลาง
ด่านชุมพล,ตราด,5.6,5.99 (107%),5.69 (111%),0.57,0.13,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยศรีคุณ,มุกดาหาร,2.312,2.4 (104%),2.38 (104%),0.59,,27/08/2025,แหล่งน้ำขนาดกลาง
น้ำแหง,น่าน,13,13.48 (104%),10.61 (105%),4,3.88,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยผักดอก,นครพนม,2.8,2.84 (101%),2.54 (102%),0.82,,27/08/2025,แหล่งน้ำขนาดกลาง
ทรายทอง,นครนายก,2,2.03 (101%),1.91 (101%),0.08,0.05,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยนางออ,มุกดาหาร,3.3,3.33 (101%),2.88 (101%),0.82,,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ทรายคำ,ลำปาง,1.248,1.26 (101%),1.12 (101%),0.54,0.12,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ต่ำ,ลำปาง,2.54,2.56 (101%),1.87 (101%),0.19,0.15,27/08/2025,แหล่งน้ำขนาดกลาง
สันหนอง,เชียงใหม่,1.45,1.46 (100%),1.11 (101%),0.04,0.05,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ทรายคำ,ลำปาง,1.248,1.62 (100%),1.47 (132%),0.42,0.06,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยแม่สัน,ลำปาง,3.525,3.53 (100%),3.49 (100%),1.08,0.06,27/08/2025,แหล่งน้ำขนาดกลาง
แม่วะ,แพร่,5.9,5.91 (100%),4.96 (100%),1.65,0.37,27/08/2025,แหล่งน้ำขนาดกลาง
น้ำพง,น่าน,1.31,1.49 (100%),1.12 (119%),0.86,0.72,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ค่อม,ลำปาง,1.356,1.36 (100%),1.20 (100%),0.34,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
แม่เฟือง,ลำปาง,1.132,1.13 (100%),0.95 (100%),0.57,0.07,27/08/2025,แหล่งน้ำขนาดกลาง
คลองสวนหนัง,สุราษฎร์ธานี,1.29,1.29 (100%),1.27 (100%),0.04,0.02,27/08/2025,แหล่งน้ำขนาดกลาง
วังปลาหมอ,ตราด,8.15,6.6 (100%),6.00 (79%),0,,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยตะแบง,ศรีสะเกษ,6.88,6.77 (98%),6.47 (98%),0.31,0.3,27/08/2025,แหล่งน้ำขนาดกลาง
บ้านสันกำแพง,นครราชสีมา,6.4,6.26 (98%),5.50 (97%),0.22,0.14,27/08/2025,แหล่งน้ำขนาดกลาง
แม่ออน,เชียงใหม่,4.53,4.36 (96%),3.56 (96%),0.07,0.1,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยทา,ศรีสะเกษ,29.58,28.48 (96%),25.18 (93%),0.06,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยซำ อ.โซ่พิสัย,บึงกาฬ,2.4,2.29 (95%),1.76 (115%),0.14,0.06,27/08/2025,แหล่งน้ำขนาดกลาง
บ้านมะนาว,ตราด,2.35,2.24 (95%),2.17 (135%),0.02,0.04,27/08/2025,แหล่งน้ำขนาดกลาง
ศาลทราย,จันทบุรี,10,9.43 (94%),8.43 (94%),0.74,0.66,27/08/2025,แหล่งน้ำขนาดกลาง
ห้วยหวด อ.เต่างอย,สกลนคร,21,19.76 (94%),18.47 (94%),0,0.25,27/08/2025,แหล่งน้ำขนาดกลาง
